TimeStamps,Tweets
2023-08-17T12:53:17.000Z,"#ITCHotels' demerger is expected to be completed by Sep'24, while the listing of the new entity is expected to take place in Nov'24. |
@chit_ranjan
 

https://fortuneindia.com/investing/will-itc-hotels-demerger-unlock-value-for-shareholders/113769…

#ITC #ITCHotelsdemerger #ITCHotelslisting #ITCshareholders #ITCshares #demerger #hotel #FMCG #cigarette"
2023-08-17T12:21:00.000Z,"Analyst firms raise #ITC share's target price to Rs 525 following robust Q1 results and approval of hotel business demerger

Read: https://ianslive.in/analyst-firms-raise-itc-share-target-price-to-rs-525-following-robust-q1-results-and-approval-of-hotel-business-demerger--20230817154419…"
2023-08-17T04:22:07.000Z,"#ITC shares that was building up for a demerger since long have just languished from the precise day the decision was announced.

Sell on News in play."
2023-08-17T04:20:53.000Z,"Mam but what about ITC? Coming down after demerger news… 
@kuttrapali26"
2023-08-17T04:17:46.000Z,What do you think about itc hotel demerger?
2023-08-16T14:12:07.000Z,"16/08/2023 

 Coal India capex grows 8.5% in April-July FY24

 Infosys gains on expanding strategic collaboration with Liberty Global

 ITC Q1 PAT climbs 17% YoY to Rs 4,903 cr; board nod for ITC Hotel biz demerger

 Divis Lab skid after PAT drops 49% YoY in Q1 FY24"
2023-08-16T13:22:10.000Z,Is itc technically weak now? After delivering good results and demerger news also it is struggling
2023-08-16T13:04:36.000Z,"ITC demerger:

ITC's demerger structure disappointed investors as it retains 40% stake in the hotels business. 60% stake to be allotted to ITC shareholders, valued at Rs 5625 cr. Market will determine actual valuation when shares list.
#StockMarket #ITC"
2023-08-16T12:14:38.000Z,"ITC hotel spinoff at 10:1 ratio
@ITCCorpCom
 @ITCHotels
 #demerger #spinoff #hotels #FMCG"
2023-08-16T11:40:25.000Z,"𝐈𝐓𝐂 𝐃𝐞𝐦𝐞𝐫𝐠𝐞𝐫 पर 𝐋𝐚𝐭𝐞𝐬𝐭 𝐮𝐩𝐝𝐚𝐭𝐞  

To know how much ITC Hotel share you will get watch the full video.
https://youtube.com/watch?v=FyCsdN4H9RA&t=1s…
.
.
.
.
#ITCDemerger #ProfitInsights #itc #hotel #demerger #bignews #latestnews #latestupdates #ipo #StockMarket"
2023-08-16T10:38:50.000Z,"ITC Hotel Business Demerger: From Entitlement Ratio To Listing, Key Highlights Here

#ITC #ITCHotels"
2023-08-16T05:06:21.000Z,"#MCPro | #ITC's growth in the core segments of cigarettes and FMCG will now be in focus after the demerger of the company's hotels business.

Read here
https://moneycontrol.com/news/business/earnings/itc-q1f2y4-should-investors-add-the-stock-after-its-huge-outperformance-11195221.html…

#Q1FY24 #Earnings #Stocks"
2023-08-16T05:05:59.000Z,"#ITC से होटल कारोबार के डीमर्जर को मंजूरी

ITC से अलग होकर #ITCHotels नाम से नई कंपनी बनेगी

ITC के 10 शेयरों पर ITC होटल्स का 1 शेयर मिलेगा

ITC होटल कारोबार #Demerger की डीटेल देखिए इस वीडियो में 
@Nupurkunia
 | #ShareMarket | #StockMarket

Live : https://bit.ly/3OYVbXE"
2023-08-16T04:16:56.000Z,"ITC share price targets post Q1 results, hotels biz demerger approval & more
@amit_mudgill"
2023-08-16T04:16:46.000Z,"Aur baki 7 ke badle Mai..??
Can u plz tell me after demerger value of itc"
2023-08-16T04:06:22.000Z," ITC to demerge hotel business, listing in 15 months: Kolkata-based conglomerate plans to publicly list its hotel business as ITC Hotels Ltd. 

Existing shareholders to receive equity shares, maintaining 60% stake; ITC retains 40%.  

#ITC #Demerger #Hotels #ITChotels #market"
2023-08-16T04:04:11.000Z," ITC to demerge hotel business, listing in 15 months: Kolkata-based conglomerate plans to publicly list its hotel business as ITC Hotels Ltd. 

Existing shareholders to receive equity shares, maintaining 60% stake; ITC retains 40%.  

#ITC #Demerger #Hotels #ITChotels #market"
2023-08-16T03:58:52.000Z,"#ITC share price gained a percent after the company reported its Q1 results and approved the demerger of its hotels business. 

ITC shares gained as much as 1.12% to ₹454.00 apiece on the BSE."
2023-08-16T01:38:55.000Z,"#ITCDemerger : मुनाफे में 18% उछाल के साथ ITC का दमदार प्रदर्शन...होटल कारोबार के डीमर्जर में ITC के 10 शेयरों पर मिला ITC होटल्स का एक शेयर... 15 महीने में पूरी होगी प्रक्रिया...

#ITC #StockMarket 

Zee Business Live :  https://bit.ly/3OYVbXE"
2023-08-15T18:14:31.000Z,#IBS #IBSPune #Demerger #ITC #IPO
2023-08-15T17:12:44.000Z,Infosys ... may   just wait for two qtr results..and ITC may give similar return in year 24 as demerger will happen in 15 months.
2023-08-15T16:09:26.000Z,"Indicative timeline for listing of ITC Hotels: ~15 months
Total no. of equity shares of ITC Hotels (pre demerger) will be 83cr
Fresh issue 125cr
So Total no. of equity shares of ITC Hotels (post demerger) will be 208cr

(3/4)"
2023-08-15T16:09:25.000Z,"ITC Hotel - Indicative price per share 

Hotel business of ITC will be demerged from the ITC ltd
ITC ltd will own 40% stake in the company
Shareholders will have 60% stake
Demerger ratio: for every 10 shares of ITC ltd 1 share of the hotel will be given

(1/4)"
2023-08-15T15:31:01.000Z,"#FCnotes #specialsituation

 on #ITC hotels demerger

ITC Board has approved demerger of Hotels Business. 

The Company thereby had incorporated a new wholly owned subsidiary in the name of 'ITC Hotels Limited' on 28th July, 2023"
2023-08-15T14:42:17.000Z,"10: 1 Entitlement Ratio in ITC Ltd Demerger of ITC Hotels https://youtu.be/FLAfa4-mX0U via 
@YouTube"
2023-08-15T14:25:37.000Z,"ITC Hotels Demerger: ITC Shareholders to get 1 share of ITC Hotels for e... https://youtu.be/MOck8BNl68U via 
@YouTube"
2023-08-15T11:49:21.000Z,"#ITChotelsLtd & Ansal Hotels Ltd  were a separate listed entity, merged with ITC Ltd. on 1st April 2004

#share exchange ratios in 2004
1- 3 shares of ITC for 25 #shares of ITC Hotels
2- 1 share of ITC for 150 shares of Ansal Hotels
  #Demerger 
@giri10488_vyas
 
@wealth_verse"
2023-08-15T11:34:30.000Z,"#ITC Board approves demerger of hotels business into ITC Hotels

ITC shareholders to get 1 share in ITC Hotels for 10 shares held

(1)    3 shares of ITC for every 25 shares of ITC Hotels.
(2)    1 share of ITC for every 150 shares of Ansal Hotels.
#ITC #hotel #Demerger"
2023-08-15T06:21:30.000Z,"ITC Hotels Demerger News :

Shareholders to get 1 share of ITC Hotels for every 10 shares of parent co.

Explanation..

#itc #news #investing"
2023-08-15T06:00:21.000Z,"#ITC: Major Board Decision 

ITC's board has given the green light for the demerger of its hotels business into a separate entity, ITC Hotels. 

Shareholders of ITC will receive 1 share in ITC Hotels for every 10 shares held, with an estimated timeline of around 15 months… Show more"
2023-08-15T05:11:13.000Z,"ITC share holders are all happy, for different reason altogether. 

Passive Income is 

#Dividend #ITC  #ITCDemerger"
2023-08-15T04:43:58.000Z,"#ITC said its shareholders will hold 100% of the ultimate beneficial economic interest in the hotels business with direct holding of about 60% and indirect holding of about 40% through ITC. 
   Demerger would unlock value of hotels business for existing shareholders of ITC… Show more"
2023-08-15T04:03:39.000Z,"The Demerger news itself will flock ITC shareholders to add more, atleast in the multiples of 10s

Even I have to add the same."
2023-08-15T03:58:31.000Z,"@CNBCTV18News
@ITCCorpCom
what abt shareholder holding 17 shares of ITC under demerger ?"
2023-08-15T03:24:03.000Z,"ITC Q1 results:

Net profit jumps 17.58% to ₹4902.74 crore
Revenue falls 7% at ₹16995.49 crore
Exceeds estimates
EBIDTA grows 10.7% at ₹6250.1 crore

The Board at its meeting held today subject to necessary approvals, considered and approved demerger of Hotels Business"
2023-08-14T16:57:32.000Z,#ITC demerger
2023-08-14T16:32:19.000Z,"ITC approves demerger of hotel business.
Under the demerger, shareholders will get one share of hotels business for every 10 shares held in ITC.
.
#LearningAbility #ITC #ITCltd #ITChotel #shares"
2023-08-14T16:23:34.000Z,"Hopeless scheme for ITC hotels demerger , i thought it will be atleast 1:6 ! Why do you even want to give 1:10 
@ITCCorpCom
 , keep it with you only    https://m.economictimes.com/markets/stocks/news/itc-hotels-demerger-shareholders-to-get-1-share-of-itc-hotels-for-every-10-shares-of-parent/amp_articleshow/102724622.cms…"
2023-08-14T16:20:00.000Z,"#ITC board approved the scheme of arrangement involving the demerger of its hospitality business, 
@ishitaadutt
 reports.

#ITChotels"
2023-08-14T16:18:38.000Z,"ITC Hotel's demerger: Don't focus on the number of shares, look at value  

1 share of the Hotel biz for every 10 ITC shares is fair, as the Hotel biz is valued at 8-9/current ITC share. 

It's like getting Rs 100 in ten 10 rupee notes or two 50 rupee notes. It doesn't matter,… Show more"
2023-08-14T16:17:01.000Z,Worthless mindless demerger scheme. ITC should come out clean and explain stakeholders else everyone should vote against the proposal.
2023-08-14T16:12:01.000Z,"ITC Announces Share Entitlement Ratio of 1:10 for Demerger of Hotels Business 

#itc #itchotels #TheBlock #JENNIE
#hotels #financialmarkets #TrendingNow"
2023-08-14T16:11:50.000Z,"ITC on Monday approved the scheme of arrangement involving the demerger of its hotels business into a separate listed subsidiary.
Under the demerger plan, shareholders of ITC will get 1 share in the demerged hotels business for every 10 shares held in the parent company.
#Results"
2023-08-14T15:00:19.000Z,"The #Q1FY24 results of #ITC are a bit lukewarm with softer performance, but the disappointment lies in the #demerger swap ratio. The company has announced giving one share of the #hotelbusiness for every 10 #shares of #ITC_Ltd."
2023-08-14T14:56:58.000Z,Sir your take on ITC result and demerger ratio?
2023-08-14T14:54:58.000Z,"ITC Hotels Demerger: Shareholders to get 1 share of ITC Hotels for every 10 shares of parent company

 Thought it is a good sign that he company has taken steps on unlocking the value but the larger picture is still unclear.

- ITC holds many businesses withing itself and… Show more"
2023-08-14T14:30:50.000Z,"4/4 The demerger plan is subject to necessary approvals from various regulatory bodies, including shareholders, creditors, stock exchanges, and regulatory authorities. Once approved, the indicative timeline for listing ITC Hotels is approximately 15 months.  
#ITC #stocks"
2023-08-14T14:30:48.000Z,"2/4 Shareholders of ITC will hold about 60% of the new hotels company, while the remaining 40% will be held by ITC. This strategic demerger reflects ITC's commitment to maximizing shareholder value and creating distinct entities.  #Shareholders #ValueCreation"
2023-08-14T14:30:47.000Z,"1/4 Exciting news! 
 ITC, the Indian conglomerate, is set to demerge its Hotels business into a separate listed entity, creating a pure play hotels company. 
 #ITC #Hotels #Demerger"
2023-08-14T14:28:57.000Z,"ITC Hotel Demerger shareholders will get 1 share of ITC Hotel for every 10 shares in ITC. 
#ITC"
2023-08-14T14:26:11.000Z,"#ITC Board approves demerger of hotels business into ITC Hotels

ITC shareholders to get 1 share in ITC Hotels for 10 shares held."
2023-08-14T14:22:11.000Z,"ITC Q1 consolidated PAT 5180.12 cr marginally above the estimate and Revenue Rs 18,639.48cr below expected. Company announces 1:10 ratio for hotel business demerger"
2023-08-14T13:59:21.000Z,#LeadStoryOnET | ITC Hotels Demerger: Shareholders to get 1 share of ITC Hotels for every 10 shares of parent
2023-08-14T13:51:06.000Z,"ITC Board approves hotel business demerger, listing in 15 months. 

Shareholders of #ITC will get 1 share in the demerged hotels business for every 10 shares held in the parent company. 

#trading #investing #stocks #StockMarketindia 
@kuttrapali26
 @KommawarSwapnil"
2023-08-14T13:10:05.000Z,"The #ITC board has approved the demerger of the hotels business.  

Asper the scheme of the arrangement, shareholders of 
@ITCCorpCom
 will get one share of the hotel business for every 10 shares they hold in the company.  
@Shilparanipeta
 

https://cnbctv18.com/news/itc-shareholders-to-get-one-share-of-hotels-busines-for-every-10-shares-held-in-co-17528841.htm…"
2023-08-14T13:06:49.000Z,"#ITC Board approves demerger of hotels business into ITC Hotels

ITC shareholders to get 1 share in ITC Hotels for 10 shares held

Do  you know this interesting fact
ITC Hotels Ltd. (a separate listed entity) and Ansal Hotels Ltd  were merged with ITC Ltd. on April 1, 2004.… Show more"
2023-08-14T12:54:40.000Z,"#ITC: Board approves demerger of hotels business into ITC Hotels

ITC shareholders to get 1 share in ITC Hotels for 10 shares held

Indicative timeline for listing of ITC Hotels is around 15 mos

#doyouknow 

ITC Hotels Ltd. (a separate listed entity) and Ansal Hotels Ltd  were… Show more"
2023-08-14T12:45:45.000Z,ITC Hotel Demerger Structure
2023-08-14T12:43:40.000Z,"What a demerger mockery by ITC for shareholders.
Small shareholders should join hands and vote against the proposal. 
@SebiSlots
 
@ITCCorpCom
 
@AnilSinghvi_
 
@CNBC_Awaaz
 
@CNBCTV18News
 
@ZeeBusiness"
2023-08-14T12:38:08.000Z,"With the demerger, for every 10 shares owned in #ITC, shareholders will receive one share from the hotels business. Expected listing in 15 months.

#ITCHotels #demerger"
2023-08-14T12:11:37.000Z,"#Results #ITC #Update #demerger

#NSE #BSE #NIFTY #SENSEX #TRADING #INVESTING"
2023-08-14T12:01:40.000Z," ITC's Q1FY24 Highlights:

 Net Profit Surge: Standalone net profit reaches Rs 4902.74 crore, up by 17.58% YoY, showcasing strong growth.

 Total Revenue Dip: Total revenue at Rs 16,995.49 crore, down 7.2% YoY, reflecting challenges.

 Hotels Business Demerger: Board… Show more"
2023-08-14T12:01:19.000Z,"And as I mentioned earlier as well,

ITC hotel demerger becomes a non event for a normal investor."
2023-08-14T12:00:58.000Z,"#BusinessNews: ITC के होटल बिजनेस डीमर्जर को बोर्ड से मिली मंजूरी, क्या कोर बिजनेस पर बढ़ेगा कंपनी का फोकस?
@ITCCorpCom
 

#ITC #sharemarket #hotelbusinessnews #itcdemerger #demerger #LatestNews #moneycontrol"
2023-08-14T11:57:53.000Z,"ITC's board approves demerger of hotels business, with new entity to be listed in about 15 months. 

Shareholders to get 1 share of hotels business for every 10 shares in ITC. ITC Hotels to have license for ITC brand name.  

#ITC #Hotels #demerger #market #marketupdates"
2023-08-14T11:51:14.000Z,"ITC demerger
 1 ITC will get 10 ITC Hotels #update #demerger #ITC #sharemarket"
2023-08-14T11:51:01.000Z,"#ITC approved the demerger of its hotels business into a separate entity.

Shareholders of ITC will get 1 share in the demerged hotels business for every 10 shares held in the parent company.

#StockMarket 
#stocks 
#stockstowatch 
#StocksInFocus"
2023-08-14T11:48:30.000Z,"ITC Hotels Demerger:

The Board approved the scheme of arrangement involving the demerger of its hotel business into a separate subsidiary. 

Under the demerger, shareholders of ITC will get 1 share in the demerged hotels business for every 10 shares held in the parent company… Show more"
2023-08-14T11:27:20.000Z,"#ITC | ITC shall become the 2nd largest FMCG company in India by revenue post ITC hotel demerger

Amul group to become #1 FMCG company of India with revenue over Rs 72,000 cr

Unlike Electronics industry, Indianbrands are dominating FMCG market (except Unilever and Nestle)"
2023-08-14T11:26:28.000Z,"#ITC: Board approves demerger of hotels business into ITC Hotels

ITC shareholders to get 1 share in ITC Hotels for 10 shares held

Indicative timeline for listing of ITC Hotels is around 15 mos. #Nifty #ITC #investing"
2023-08-14T11:25:21.000Z,"ITC Hotels Demerger: Shareholders to get 1 share of ITC Hotels for every 10 shares of parent co

https://economictimes.indiatimes.com/markets/stocks/news/itc-hotels-demerger-shareholders-to-get-1-share-of-itc-hotels-for-every-10-shares-of-parent/articleshow/102724622.cms…
 via ET Markets App(Download Now):
 https://etmarketapps.page.link/refsharing"
2023-08-14T11:23:47.000Z,"ITC Demerger News - 

ITC shareholders to get 1 share in ITC Hotels for 10 shares held

FY23 revenue of Hotels - 2573 Cr (3.7% of the total standalone turnover of ITC Ltd.)

Also stake buys in 2 hotel companies -

No reco."
2023-08-14T11:23:46.000Z,"#ITC: Board approves demerger of hotels business into ITC Hotels

ITC shareholders to get 1 share in ITC Hotels for 10 shares held

Indicative timeline for listing of ITC Hotels is around 15 mos

#doyouknow 

ITC Hotels Ltd. (a separate listed entity) and Ansal Hotels Ltd  were… Show more"
2023-08-14T11:14:10.000Z,#NewsAlert  #ITC approves demerger of hotels business
2023-08-13T05:17:41.000Z,"Equity entitlement ratio is determined through mathematical principles, not just valuations, as mentioned by 
@Equitywithrahul
. Interesting breakdown of the ITC Hotels demerger 
@business_today
 #ITC #ITChotels #Demerger #Finance"
2023-08-12T15:15:33.000Z, ITC's Sanjiv Puri envisions growth with hotels demerger. Seizing opportunities in India's booming hospitality sector. #HospitalityGrowth #ITC Read more:
2023-08-12T15:04:24.000Z, ITC's strategic move! Hotel business demerger to boost capital allocation and shareholder value. #ITC #BusinessDemerger Read more:
2023-08-12T13:54:02.000Z,"Nice analysis of the unaltered ownership pattern in the ITC demerger, aiding shareholders in comprehending the intricacies, good article by 
@Equitywithrahul
 @business_today
 #Demerger #Finance"
2023-08-12T07:20:09.000Z,"Post hotel demerger ITC bets big on FMCG: With more than 25 brands, the annual consumer spend is around Rs 29,000 crore. The addressable market for the FMCG vertical of ITC is $5 trillion, its MD & Chairman Puri says.

https://deccanherald.com/business/post-hotel-demerger-itc-bets-big-on-fmcg-2644818?utm_source=twitter&utm_medium=referral&utm_campaign=socialshare… via 
@deccanherald"
2023-08-12T07:09:37.000Z,"Hotel Business Demerger To Sharpen ITC's Capital Allocation, Improve Asset Efficiency Ratios"
2023-08-12T06:26:50.000Z," Hospitality Horizon: 
@ITCHotels
  Business embraces a new era with a proposed demerger, enhancing stability, value, and growth. As India's tourism potential soars, ITC's presence is set to leave an indelible mark in the hospitality industry. A saga of opportunities awaits! "
2023-08-12T06:16:44.000Z,Itc just doing the stupid business like fmcg and all. Just management want to safe their position. Also look the demerger of hotel business no one called that corporate action as 'demerger'.
2023-08-11T10:21:10.000Z,"During the #ITC AGM 2023, #SanjivPuri, the Chairman and Managing Director, emphasized that the recently announced demerger of #ITCHotels from the parent company would have multiple positive impacts. 

Read Full Article Here:
https://innovativezoneindia.com/highlights-of-cmd-sanjiv-puri-itc/…."
2023-08-11T09:35:17.000Z,"#ITC AGM

•On hotel biz demerger:
Will sharpen ITC's capital allocation, improve asset efficiency ratios

•Built FMCG portfolio of 25+ brands, addressable market: Rs 5L Cr

•2 FMCG brands in Rs 5K cr spends league,  5 between 1K-4K cr
@ITCCorpCom"
2023-08-11T08:28:42.000Z,""" Exciting news from ITC! Chairman & MD Sanjiv Puri highlights how the hotel business demerger will boost capital allocation, enhance asset efficiency, unlock shareholder value, and harness institutional synergies.  #ITC #BusinessDemerger #ValueUnlocked"""
2023-08-11T08:27:56.000Z,ITC's #BoardMeeting is set to announce the June quarter results & details of the scheme of arrangement for the demerger. #ITC #MondayMotivation
2023-08-11T08:14:50.000Z,"The demerger of #ITC's hotel business will sharpen capital allocation, improve asset efficiency ratios, unlock value for its shareholders as well as enable leveraging of institutional synergies, said company chairman and MD Sanjiv Puri"
2023-08-11T07:50:47.000Z,"#ITCAGM | ITC CMD #SanjivPuri addressed shareholders during its 112th AGM, where he spoke about the conglomerate's business plans, the demerger of its hotels business and more. 
@ITCCorpCom
 #ITC 

These are the key highlights  "
2023-08-11T07:44:13.000Z,All the ITC Gyaanis giving gyaan about the demerger should read what itc did to the hotels in early 2000s and what reasons it gave. You’ll find a lot of similarities to the reasoning.
2023-08-11T07:41:52.000Z,ITC board meeting on 14 to decide issues relating to demerger of hotel business
2023-08-09T11:43:23.000Z,"ITC - The New Journey after the most awaited Demerger starts??

Observations :-

* Bullish Candle at support zone with supportive volumes

* Tested 55 Dema after a long time so healthy pullback done with Oscillators being oversold

* Closed at last 3 days high, follow up buying… Show more"
2023-08-09T09:46:51.000Z,"Hello Jeetu Bhaiya.. Hope you are doing good. ITC was moving in channel, it came down one way due to demerger news annd breakdown the channel. Can CMP is the good opportunity to accumulate on the basis of demand and supply method?
@krunalparab_"
2023-08-09T07:33:01.000Z,"Trading for Beginners | Safety | Basic Techniques

#iamsrimantha #trader #trading #itcdemerger #stockanalysisfundamentals  #FuturesandOptions #tradefutures #finnifty #futureandoptionsinsharemarket #futureandoptiontrading #fandotrading"
2023-08-08T09:45:24.000Z,After Demerger Announcement ITC Likely To Launch IPO For Its Hotel Business In 2024
2023-08-07T12:14:54.000Z,"NIIT Ltd has demerged its B2C arm, NLSL into a separate entity that will list tomorrow. 

NLSL is to NIIT what the cigarette business is to ITC, with a bonus of growth. So how are things stacked up post-demerger?

#NIIT #NLSL #Demerger

https://capitalmind.in/2023/08/niit-learning-systems-demerger-implications/…"
2023-08-04T14:43:02.000Z,"ITC hotel biz demerger allays capital allocation concerns, say analysts"
2023-08-04T07:33:03.000Z,"ITC board gives in-principle nod for demerger of hotels business; stock falls over 3% 
 ... https://digitrixlive.xyz/itc-board-gives-in-principle-nod-for-demerger-of-hotels-business-stock-falls-over-3/?feed_id=33746&_unique_id=64cca9ae5e5ab…"
2023-08-04T07:23:55.000Z,"ITC board approves demerger of hotel business, to hold 40% stake in new entity Cigarettes-to-hotels main ITC Ltd on Mon... https://digitrixlive.xyz/itc-board-approves-demerger-of-hotel-business-to-hold-40-stake-in-new-entity/?feed_id=33742&_unique_id=64cca78a628d3…"
2023-08-04T06:32:59.000Z,"Why ITC share price fell 4% on much-awaited hotel business demerger announcement? - Explained 
 ... https://digitrixlive.xyz/why-itc-share-price-fell-4-on-much-awaited-hotel-business-demerger-announcement-explained/?feed_id=33718&_unique_id=64cc9b9b2f669…"
2023-08-04T07:33:03.000Z,"ITC board gives in-principle nod for demerger of hotels business; stock falls over 3% 
 ... https://digitrixlive.xyz/itc-board-gives-in-principle-nod-for-demerger-of-hotels-business-stock-falls-over-3/?feed_id=33746&_unique_id=64cca9ae5e5ab…"
2023-08-04T07:23:55.000Z,"ITC board approves demerger of hotel business, to hold 40% stake in new entity Cigarettes-to-hotels main ITC Ltd on Mon... https://digitrixlive.xyz/itc-board-approves-demerger-of-hotel-business-to-hold-40-stake-in-new-entity/?feed_id=33742&_unique_id=64cca78a628d3…"
2023-08-04T06:32:59.000Z,"Why ITC share price fell 4% on much-awaited hotel business demerger announcement? - Explained 
 ... https://digitrixlive.xyz/why-itc-share-price-fell-4-on-much-awaited-hotel-business-demerger-announcement-explained/?feed_id=33718&_unique_id=64cc9b9b2f669…"
2023-08-04T06:28:54.000Z,ITC hotels: ITC board gives in-principle nod for demerger of hotels business The board of FMCG main ITC at Monday's a... https://digitrixlive.xyz/itc-hotels-itc-board-gives-in-principle-nod-for-demerger-of-hotels-business/?feed_id=33717&_unique_id=64cc9aa632bf3…
2023-08-04T04:12:37.000Z,"ITC hotel business demerger: ITC board approves demerger of hotels business, share price drops 4% Ending months of hypothesis, cigarette-t... https://digitrixlive.xyz/itc-hotel-business-demerger-itc-board-approves-demerger-of-hotels-business-share-price-drops-4/?feed_id=33660&_unique_id=64cc7ab4684ed…"
2023-08-04T01:07:51.000Z,ITC hotels demerger to unlock value for 30 lakh shareholders. But what disappointed investors? In a basic instance of how the idea of '... https://digitrixlive.xyz/itc-hotels-demerger-to-unlock-value-for-30-lakh-shareholders-but-what-disappointed-investors/?feed_id=33582&_unique_id=64cc4f668545f…
2023-08-01T15:21:09.000Z,"After the demerger, do you still think that ITC is a good investment? 
https://instagram.com/p/CvaB8pCB2fV/?igshid=NjIwNzIyMDk2Mg==…

However, this plan needs final approval from the board, which will be decided on #august 14 2023.
.
.
.
#stockmarkets #ITC #investing #demerger #Nifty #NSE"
2023-08-01T08:56:37.000Z,"#ITC to not buy a stake in hotels if BAT wants an exit post demerger
@nehavashishth90"
2023-08-01T07:22:16.000Z,ITC Demerger likely to happen in FY25: What to do as an investor? http://dlvr.it/St270p
2023-07-31T15:04:14.000Z,"https://t.me/weeklyhighlights…

Weekly Highlights:

1. BlackRock to re-enter India's MF industry with Jio
2. ITC's board has cleared demerger of its hotel business
3. India will move to a T+1 market settlement from Oct 1, 2023
4. EPF interest hiked by 0.05% to 8.15% for FY22-23"
2023-07-31T15:03:22.000Z,"40% with ITC, 18% with BAT...hesitant demerger!"
2023-07-31T14:41:01.000Z,"ITC: 'Won't buy a stake in hotels if BAT wants an exit post demerger'
Catch the day's latest news and updates   https://bit.ly/456dGP2"
2023-07-31T13:42:01.000Z,"ITC चा डी-मर्जरचा निर्णय चुकला का? 
#itcompany #demerger"
2023-07-31T01:59:04.000Z,"ITC demerger news today Share market News Tamil Pangu Sandhai Piramal Ph... https://youtu.be/Plm8ekI2Q1g via 
@YouTube"
2023-07-30T23:14:28.000Z,"Demerger of ITC hotel good 
Why?
Hotel business contribute only 2% in profit but required 20% of capax.
Moving out hotel business will do 2 things
1) better use of cash
2) more dividends 

ITC's hotel business demerger raises questions on capex funding"
